Program_Combo,ID,Count
"C25590C10 - Information Technology/Linux Certificate, C25590C17 - Information Technology/Cyber Security Operations Certificate",['2535914'],1
"C25590C11 - Information Technology/Hardware and Software Certificate, C25590C13 - Information Technology/Microsoft Desktop Support Certificate, C25590C18 - Information Technology Basics Certificate",['2949600'],1
"C25590C11 - Information Technology/Hardware and Software Certificate, C25590C17 - Information Technology/Cyber Security Operations Certificate",['2641212'],1
"C25590C11 - Information Technology/Hardware and Software Certificate, C25590C9 - Information Technology/Computer Technologies Certificate",['2853190'],1
"C25590C12 - Information Technology/Microsoft Networking Certificate, C25590C29 - Information Technology/Cloud Management Certificate, C25590C8 - Information Technology/Cisco Networking Certificate",['2927075'],1
"C35130C1 - Electrical Systems Technology/Basic Elec Motors & Cont & Plc, C50420C1 - Welding Technology/Basic Welding Certificate",['2764616'],1
"C35130C1 - Electrical Systems Technology/Basic Elec Motors & Cont & Plc, C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, D35130 - Electrical System Technology Diploma",['2922837'],1
"C35130C1 - Electrical Systems Technology/Basic Elec Motors & Cont & Plc, C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, C50420C1 - Welding Technology/Basic Welding Certificate, D50420 - Welding Technology",['2951711'],1
"C35100H1 - Air Conditioning, Heating & Refrigeration Technology/Basic, C50420H1 - Welding Technology/Basic Welding Technlology Certificate",['2983632'],1
"C35100 - Basic A/C, Heating & Refrigeration, C5518CC1 - Criminal Justice Technology Forensic Science Certificate, D35100 - Air Conditioning, Heating & Refrigeration Technology Diploma",['2962232'],1
"C30100H1 - Graphic Design/Graphic Design Basics Certificate, C45630H1 - Health and Fitness Science Certificate",['2965287'],1
"C25800C6 - Accounting and Finance/Accounting Foundations Certificate, C25800C7 - Accounting and Finance/Consumer Financial Services Found Cer, C25800C8 - Accounting and Finance/Business Financial Services Cert",['958149'],1
"C30100C4 - Graphic DesignAdobe Applications Certificate, C30100C5 - Graphic Design/Digital Illustration Certificate, C30100C6 - Graphic Design/Illustration Basics Certificate",['2814459'],1
"C25800C4 - Accounting and Finance/Small Business Accounting Certificate, D55260 - Funeral Service Education/NC Funeral Director",['2988487'],1
"C30100C1 - Graphic Design/Digital Graphic Certificate, C30100C2 - Graphic Design/Graphic Design Basics Certificate, C30100C4 - Graphic DesignAdobe Applications Certificate",['1185489'],1
"C25800H1 - Accounting and Finance, C55180H1 - Criminal Justice Technology/Introduct Criminal Justice Cert",['2994863'],1
"C25590HC - Information Technology/Audio and Video Editing Cert, C30100H1 - Graphic Design/Graphic Design Basics Certificate",['3007029'],1
"C25620C1 - Supply Chain Management/Logistics & Distributions Mgmt Cert, C25620C3 - Supply Chain Management/Supply Chain Analytics Certificate",['2957030'],1
"C25620C2 - Supply Chain Management/Trucking Logistics Foundations Cert, C50420C1 - Welding Technology/Basic Welding Certificate, D50420 - Welding Technology",['2962986'],1
"C25800C1 - Accounting and Finance/Payroll Accounting Certificate, C25800C2 - Accounting and Finance/Tax Preparer Certificate, C25800C3 - Accounting and Finance/Computerized Accounting Certificate, C25800C4 - Accounting and Finance/Small Business Accounting Certificate, C25800C5 - Accounting and Finance/Cost/Managerial Account Certificate",['2863931'],1
"C25800C4 - Accounting and Finance/Small Business Accounting Certificate, C55180C10 - Criminal Justice Technology/Criminal Just Fundamentals Cert, C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert",['2881460'],1
"C25590H3 - Information Technology/Haredware and Software Certificate, C60130H1 - Collision Repair and Refinishing Technology Certificate",['3004271'],1
"C25590H5 - Information Technology/Network Defense Specialist Cert, C25590HC - Information Technology/Audio and Video Editing Cert",['3001242'],1
"C25590H4 - Information Technology/Computer Technologies Certificate, C25800H1 - Accounting and Finance",['2998065'],1
"C25590H4 - Information Technology/Computer Technologies Certificate, C25590HE - Information Technology/Computer Science Transfer Certificate",['2983934'],1
"C25590H3 - Information Technology/Haredware and Software Certificate, C55180H1 - Criminal Justice Technology/Introduct Criminal Justice Cert",['2821375'],1
"C25590HE - Information Technology/Computer Science Transfer Certificate, C25800H1 - Accounting and Finance",['2999235'],1
"C25590H8 - Information Technology/Python Programming Certificate, C25590HE - Information Technology/Computer Science Transfer Certificate",['2984296'],1
"C25590H5 - Information Technology/Network Defense Specialist Cert, C55180H1 - Criminal Justice Technology/Introduct Criminal Justice Cert, C55180H3 - Criminal Justice Technology/Private Invest/Loss Prevent Cert",['2997778'],1
"C25590C20 - Information Technology/Python Programming Certificate, C25590C3 - Information Technology/Mobile Application Development Cert",['2890927'],1
"C35180C1 - Carpentry/General Contractor's Lic Prep Certificate, D35300 - Plumbing (Diploma)",['2850065'],1
"C35140C4 - Building Construction Technology/General Maint Certificate, C50420C1 - Welding Technology/Basic Welding Certificate, D50210 - Computer-Integrated Machining/Manual Machining Diploma, D50420 - Welding Technology",['447376'],1
"C35180C1 - Carpentry/General Contractor's Lic Prep Certificate, D35130 - Electrical System Technology Diploma, D35180 - Carpentry (Diploma)",['2925991'],1
"C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, D35100 - Air Conditioning, Heating & Refrigeration Technology Diploma, D35130 - Electrical System Technology Diploma",['3004170'],1
"C35300C1 - Plumbing (Diploma)/Basic Plumbing Certificate, C50420C1 - Welding Technology/Basic Welding Certificate, D35300 - Plumbing (Diploma), D50420 - Welding Technology",['2989523'],1
"C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, C40100C2 - Architectural Technology/Green/Sustainable Arch Cert., D35130 - Electrical System Technology Diploma",['3008845'],1
"C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, C35300C1 - Plumbing (Diploma)/Basic Plumbing Certificate, D35300 - Plumbing (Diploma)",['1646277'],1
"C55180C10 - Criminal Justice Technology/Criminal Just Fundamentals Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert, C55180C5 - Criminal Justice Technology/Courts and the Law Certificate",['2947938'],1
"C55170 - Natural Hai Care Certificate, D55140 - Cosmetology Diploma",['2998614'],1
"C50420H1 - Welding Technology/Basic Welding Technlology Certificate, C55180H1 - Criminal Justice Technology/Introduct Criminal Justice Cert",['2991080'],1
"C40140H1 - Civil Engineering Technology Certificate, C55180H1 - Criminal Justice Technology/Introduct Criminal Justice Cert",['3001781'],1
"C50210C1 - Computer-Integrated Machining/Basic Machining Certificate, C50240C2 - Industrial Systems Technology/Mechanical Maintenance Cert",['2995450'],1
"C50210H1 - Computer-Integrated Machining/Basic Computer-Integ Mach Cert, C50240H1 - Industrial Systems Technology/Basic Mechanical Maint Cert",['3008445'],1
"C50240C1 - Industrial Systems Technology/Electrical PLC App Cert, C50240C2 - Industrial Systems Technology/Mechanical Maintenance Cert",['2680555'],1
"C50420C1 - Welding Technology/Basic Welding Certificate, C60130C2 - Collision Repair and Refinishing Technology/Estimating Cert, C60130C3 - Collision Repair & Ref/Non-Structural & Refinishing Cert., C60130C4 - Collision Repair and Refinishing Technology/Structural Cert, C60130C5 - Basic Collision Repair & Refinishing Technology Certificate, D50420 - Welding Technology, D60130D1 - Collision Repair and Refinishing Technology Diploma",['2991493'],1
"C35140C3 - Building Construction Technology/Intro to Bldg Const Cert, C35180C1 - Carpentry/General Contractor's Lic Prep Certificate",['1612134'],1
"C35130H2 - Electrical Systems Technology/Intro to Photovaltaic Sys Cert, C35300H1 - Plumbing (Diploma)/Basic Plumbing Certificate",['3016082'],1
"C35130C3 - Electrical Systems Technology/Basic Residential Wiring Cert, D35130 - Electrical System Technology Diploma, D50420 - Welding Technology",['2994008'],1
"C55180C8 - Criminal Justice Technology/Private Invest/Loss Prevent Cert, D50420 - Welding Technology",['333383'],1
"C55180C12 - Criminal Justice Technology/Terrorism Studies Certificate, C55180C6 - Criminal Justice Technology/Principles of Corrections Cert, C55180C9 - Criminal Justice Technology/Homeland Security Certificate, C55240C1 - Fire Protection Technology Certificate, C55240C2 - Fire Protection Technology/Fundamentals of Arson Certificate",['2766707'],1
"C55180C10 - Criminal Justice Technology/Criminal Just Fundamentals Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert, D55180 - Criminal Justice Technology/Policing Diploma",['2979183'],1
"C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert, C55180C5 - Criminal Justice Technology/Courts and the Law Certificate, C55180C7 - Criminal Justice Technology/Criminal Investigations Cert",['2657681'],1
"C55180C11 - Criminal Justice Technology/Contemp Policing Studies Cert, C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert, D55180 - Criminal Justice Technology/Policing Diploma",['2961800'],1
"C55220C2 - Early Childhood Education/Child Care Development Certificate, C55290 - Infant/Toddler Care (Certificate), C55860 - Early Childhood Preschool",['2747736'],1
"C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C7 - Early Childhood Education/Special Education Certificate",['2645333'],1
"C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat",['2744626'],1
"C55220C2 - Early Childhood Education/Child Care Development Certificate, C55220C3 - Early Childhood Education/Child Care Professional Certificat, C55290 - Infant/Toddler Care (Certificate), C55850 - Early Childhood Administration",['2664184'],1
"C55180H1 - Criminal Justice Technology/Introduct Criminal Justice Cert, C55460H1 - Emergency Management Certificate",['3004352'],1
"C55180C12 - Criminal Justice Technology/Terrorism Studies Certificate, C55180C9 - Criminal Justice Technology/Homeland Security Certificate, C55460C1 - Emergency Management Certificate",['2630917'],1
"C55180C4 - Criminal Justice Technology/Essential Law Enforcemnt Op Cert, C5518CC1 - Criminal Justice Technology Forensic Science Certificate",['2907695'],1
"C55240C1 - Fire Protection Technology Certificate, C55460C2 - Emergency Management/Incident Management Certificate, C55460C3 - Emergency Management/Disaster Management Certificate",['2928851'],1
"C60130C2 - Collision Repair and Refinishing Technology/Estimating Cert, C60130C3 - Collision Repair & Ref/Non-Structural & Refinishing Cert., C60130C4 - Collision Repair and Refinishing Technology/Structural Cert, D60130D1 - Collision Repair and Refinishing Technology Diploma",['3008436'],1
"C55240H1 - Fire Protection Technology/Fire Protection Tech Certificate, C55240H2 - Fire Protection Technology/Fundamentals of Arson Certificate, C60130H1 - Collision Repair and Refinishing Technology Certificate",['3001371'],1
"C60130C2 - Collision Repair and Refinishing Technology/Estimating Cert, C60130C4 - Collision Repair and Refinishing Technology/Structural Cert",['2939491'],1
"C60130C2 - Collision Repair and Refinishing Technology/Estimating Cert, C60130C4 - Collision Repair and Refinishing Technology/Structural Cert, D60130D1 - Collision Repair and Refinishing Technology Diploma",['2953458'],1
"C60130C3 - Collision Repair & Ref/Non-Structural & Refinishing Cert., C60130C4 - Collision Repair and Refinishing Technology/Structural Cert, C60130C5 - Basic Collision Repair & Refinishing Technology Certificate, D60130D1 - Collision Repair and Refinishing Technology Diploma",['2775134'],1
"C60130C3 - Collision Repair & Ref/Non-Structural & Refinishing Cert., C60130C4 - Collision Repair and Refinishing Technology/Structural Cert, C60130C5 - Basic Collision Repair & Refinishing Technology Certificate",['1921956'],1
"D35130 - Electrical System Technology Diploma, D50420 - Welding Technology",['2988682'],1
"D50420 - Welding Technology, D60160 - Automotive Systems Technology Diploma",['2923093'],1
